text,font_size,is_bold,y_position,word_count,char_count,ends_colon,all_upper,label
Overview,12.0,0,39.540000915527344,1,8,False,False,O
Software Testing,9.960000038146973,0,48.452972412109375,2,16,False,False,O
Foundation Level Extension – Agile Tester,9.960000038146973,0,56.733001708984375,6,41,False,False,O
Qualifications,9.960000038146973,0,59.972991943359375,1,14,False,False,O
Board,9.960000038146973,0,59.972991943359375,1,5,False,False,O
Copyright © International Software Testing Qualifications Board (hereinafter called ISTQB®),9.960000038146973,0,118.67300415039062,10,91,False,False,O
Version 2014,9.960000038146973,0,718.6836547851562,2,12,False,False,O
Page 2 of 12,9.960000038146973,0,718.6836547851562,4,12,False,False,O
"May 31, 2014",9.960000038146973,0,718.6836547851562,3,12,False,False,O
© International Software Testing Qualifications Board,6.0,0,735.8699951171875,6,53,False,False,O
Qualifications Board,9.960000038146973,0,59.972991943359375,2,20,False,False,O
International,9.960000038146973,0,36.933013916015625,1,13,False,False,O
Overview,12.0,0,39.540000915527344,1,8,False,False,O
Software Testing,9.960000038146973,0,48.452972412109375,2,16,False,False,O
Foundation Level Extension – Agile Tester,9.960000038146973,0,56.733001708984375,6,41,False,False,O
Revision History,15.960000038146973,1,106.30280303955078,2,16,False,False,H1
Version,9.960000038146973,1,137.80282592773438,1,7,False,False,O
Remarks,9.960000038146973,1,137.80282592773438,1,7,False,False,O
18 JUNE 2013,9.960000038146973,0,150.11300659179688,3,12,False,True,O
Initial version,9.960000038146973,0,150.11300659179688,2,15,False,False,O
23 JULY 2013,9.960000038146973,0,162.35299682617188,3,12,False,True,O
WG reviewed and confirmed,9.960000038146973,0,162.35299682617188,4,25,False,False,O
6 NOV 2013,9.960000038146973,0,174.59298706054688,3,10,False,True,O
amended population and diagram,9.960000038146973,0,174.59298706054688,4,30,False,False,O
11 DEC 2013,9.960000038146973,0,186.83297729492188,3,11,False,True,O
Amended Business Outcomes and Chapters matching,9.960000038146973,0,186.83297729492188,6,47,False,False,O
20 DEC 2013,9.960000038146973,0,199.07302856445312,3,11,False,True,O
Working group updates on 0.7,9.960000038146973,0,199.07302856445312,5,28,False,False,O
31 MAY 2014,9.960000038146973,0,211.31301879882807,3,11,False,True,O
GA release for Agile Extension,9.960000038146973,0,211.31301879882807,5,30,False,False,O
Version 2014,9.960000038146973,0,718.6878662109375,2,12,False,False,O
Page 3 of 12,9.960000038146973,0,718.6878662109375,4,12,False,False,O
"May 31, 2014",9.960000038146973,0,718.6878662109375,3,12,False,False,O
© International Software Testing Qualifications Board,6.0,0,735.8699951171875,6,53,False,False,O
International,9.960000038146973,0,36.933013916015625,1,13,False,False,O
Overview,12.0,0,39.540000915527344,1,8,False,False,O
Software Testing,9.960000038146973,0,48.452972412109375,2,16,False,False,O
Foundation Level Extension – Agile Tester,9.960000038146973,0,56.733001708984375,6,41,False,False,O
Qualifications,9.960000038146973,0,59.972991943359375,1,14,False,False,O
Board,9.960000038146973,0,59.972991943359375,1,5,False,False,O
Table of Contents,15.960000038146973,1,106.30280303955078,3,17,False,False,H1
Revision History,9.960000038146973,1,143.08279418945312,2,16,False,False,O
Table of Contents,9.960000038146973,1,160.48294067382812,3,17,False,False,O
Introduction to the Foundation Level Extensions,9.960000038146973,1,178.00259399414062,6,47,False,False,O
Introduction to Foundation Level Agile Tester Extension,9.960000038146973,1,195.52224731445312,7,55,False,False,O
Intended Audience,9.960000038146973,0,213.11160278320312,2,17,False,False,O
Career Paths for Testers,9.960000038146973,0,224.6353454589844,4,24,False,False,O
Learning Objectives,9.960000038146973,0,236.0694274902344,2,19,False,False,O
Entry Requirements,9.960000038146973,0,247.5931701660156,2,18,False,False,O
Structure and Course Duration,9.960000038146973,0,259.1169128417969,4,29,False,False,O
Keeping It Current,9.960000038146973,0,270.640625,3,18,False,False,O
Overview of the Foundation Level Extension – Agile Tester Syllabus,9.960000038146973,1,288.0905456542969,10,66,False,False,O
Business Outcomes,9.960000038146973,0,305.6799011230469,2,17,False,False,O
Content,9.960000038146973,0,317.0841064453125,1,7,False,False,O
References,9.960000038146973,1,334.5340270996094,1,10,False,False,O
Trademarks,9.960000038146973,0,352.1233825683594,1,10,False,False,O
Documents and Web Sites,9.960000038146973,0,363.6470947265625,4,23,False,False,O
Version 2014,9.960000038146973,0,718.7114868164062,2,12,False,False,O
Page 4 of 12,9.960000038146973,0,718.7114868164062,4,12,False,False,O
"May 31, 2014",9.960000038146973,0,718.7114868164062,3,12,False,False,O
© International Software Testing Qualifications Board,6.0,0,735.8699951171875,6,53,False,False,O
International,9.960000038146973,0,36.933013916015625,1,13,False,False,O
Overview,12.0,0,39.540000915527344,1,8,False,False,O
Software Testing,9.960000038146973,0,48.452972412109375,2,16,False,False,O
Foundation Level Extension – Agile Tester,9.960000038146973,0,56.733001708984375,6,41,False,False,O
Qualifications,9.960000038146973,0,59.972991943359375,1,14,False,False,O
Board,9.960000038146973,0,59.972991943359375,1,5,False,False,O
Acknowledgements,15.960000038146973,0,106.22300720214844,1,16,False,False,H1
This document was produced by a team from the International Software Testing Qualifications Board,9.960000038146973,0,143.15298461914062,14,97,False,False,O
Foundation Level Working Group,9.960000038146973,0,154.55715942382812,4,30,False,False,O
The Agile Extension team thanks the review team and the National Boards for their suggestions and input,9.960000038146973,0,177.59463500976562,17,103,False,False,O
"At the time the Foundation Level Agile Extension Syllabus was completed, the Agile Extension Working",9.960000038146973,0,200.63211059570312,15,100,False,False,O
"Group had the following membership: Rex Black (Chair), Bertrand Cornanguer (Vice Chair), Gerry",9.960000038146973,0,212.03628540039065,13,94,False,False,O
"Coleman (Learning Objectives Lead), Debra Friedenberg (Exam Lead), Alon Linetzki (Business Outcomes",9.960000038146973,0,223.56002807617188,12,99,False,False,O
"and Marketing Lead), Tauhida Parveen (Editor), and Leo van der Aalst (Development Lead)",9.960000038146973,0,235.11361694335935,13,87,False,False,O
"Authors: Rex Black, Anders Claesson, Gerry Coleman, Bertrand Cornanguer, Istvan Forgacs, Alon",9.960000038146973,0,258.1510925292969,12,93,False,False,O
"Linetzki, Tilo Linz, Leo van der Aalst, Marie Walsh, and Stephan Weber",9.960000038146973,0,269.6748046875,12,70,False,False,O
"Internal Reviewers: Mette Bruhn-Pedersen, Christopher Clements, Alessandro Collino, Debra",9.960000038146973,0,292.5927734375,9,89,False,False,O
"Friedenberg, Kari Kakkonen, Beata Karpinska, Sammy Kolluru, Jennifer Leger, Thomas Mueller, Tuula",9.960000038146973,0,304.1164855957031,12,97,False,False,O
"Pääkkönen, Meile Posthuma, Gabor Puhalla, Lloyd Roden, Marko Rytkönen, Monika Stoecklein-Olsen",9.960000038146973,0,315.64019775390625,11,94,False,False,O
"Robert Treffny, Chris Van Bael, and Erik van Veenendaal",9.960000038146973,0,327.1639099121094,9,55,False,False,O
"The team thanks also the following persons, from the National Boards and the Agile expert community",9.960000038146973,0,350.0818786621094,16,99,False,False,O
"who participated in reviewing, commenting, and balloting of the Foundation Agile Extension Syllabus: Dani",9.960000038146973,0,361.6055908203125,14,105,False,False,O
"Almog, Richard Berns, Stephen Bird, Monika Bögge, Afeng Chai, Josephine Crawford, Tibor Csöndes",9.960000038146973,0,373.1294250488281,13,95,False,False,O
"Huba Demeter, Arnaud Foucal, Cyril Fumery, Kobi Halperin, Inga Hansen, Hanne Hinz, Jidong Hu, Phill",9.960000038146973,0,384.6730651855469,15,99,False,False,O
"Isles, Shirley Itah, Martin Klonk, Kjell Lauren, Igal Levi, Rik Marselis, Johan Meivert, Armin Metzger, Peter",9.960000038146973,0,396.19677734375,16,109,False,False,O
"Morgan, Ninna Morin, Ingvar Nordstrom, Chris O’Dea, Klaus Olsen, Ismo Paukamainen, Nathalie Phung",9.960000038146973,0,407.9396057128906,13,97,False,False,O
"Helmut Pichler, Salvatore Reale, Stuart Reid, Hans Rombouts, Petri Säilynoja, Soile Sainio, Lars-Erik",9.960000038146973,0,419.1246948242188,13,101,False,False,O
"Sandberg, Dakar Shalom, Jian Shen, Marco Sogliani, Lucjan Stapp, Yaron Tsubery, Sabine Uhde",9.960000038146973,0,430.6484069824219,13,91,False,False,O
"Stephanie Ulrich, Tommi Välimäki, Jurian Van de Laar, Marnix Van den Ent, António Vieira Melo, Wenye",9.960000038146973,0,442.172119140625,16,100,False,False,O
"Xu, Ester Zabar, Wenqiang Zheng, Peter Zimmerer, Stevan Zivanovic, and Terry Zuo",9.960000038146973,0,453.6958312988281,12,80,False,False,O
This document was formally approved for release by the General Assembly of the ISTQB® on May 31,9.960000038146973,0,476.61376953125,17,95,False,False,O
2014,9.960000038146973,0,488.1374816894531,1,4,False,False,O
Version 2014,9.960000038146973,0,718.74169921875,2,12,False,False,O
Page 5 of 12,9.960000038146973,0,718.74169921875,4,12,False,False,O
"May 31, 2014",9.960000038146973,0,718.74169921875,3,12,False,False,O
© International Software Testing Qualifications Board,6.0,0,735.8699951171875,6,53,False,False,O
Qualifications Board,9.960000038146973,0,59.972991943359375,2,20,False,False,O
International,9.960000038146973,0,36.933013916015625,1,13,False,False,O
Overview,12.0,0,39.540000915527344,1,8,False,False,O
Software Testing,9.960000038146973,0,48.452972412109375,2,16,False,False,O
Foundation Level Extension – Agile Tester,9.960000038146973,0,56.733001708984375,6,41,False,False,O
1. Introduction to the Foundation Level Extensions,15.960000038146973,1,120.2629852294922,7,50,False,False,H1
This overview document is intended for anyone with an interest in the ISTQB Foundation Level,9.960000038146973,0,144.59298706054688,15,92,False,False,O
Extensions who wants a high-level introduction to the leading principles and an overview of the individual,9.960000038146973,0,156.11672973632812,16,106,False,False,O
extension syllabi,9.960000038146973,0,167.64047241210938,2,17,False,False,O
"From time to time, ISTQB will update this document to reflect any additional extensions that shall be",9.960000038146973,0,190.55844116210935,17,101,False,False,O
"introduced for the Foundation Level, or to reflect major changes in existing ones. Publications of the",9.960000038146973,0,202.08218383789065,16,102,False,False,O
updated document will be available on the ISTQB website,9.960000038146973,0,213.60592651367188,9,55,False,False,O
The ISTQB Foundation and Advanced Level syllabi have been defined and have been on the market for,9.960000038146973,0,236.67330932617188,17,97,False,False,O
some time. New topics emerge due to technology and methodology changes in the market which often,9.960000038146973,0,248.07748413085935,16,96,False,False,O
"are brought into the ISTQB program as new Expert Level syllabi. However, not all topics are suited for the",9.960000038146973,0,259.6012268066406,19,106,False,False,O
"Expert Level. For this reason, the extension syllabi are established at the Foundation Level to expand the",9.960000038146973,0,271.1249389648437,17,106,False,False,O
ISTQB program to incorporate new or updated knowledge. New extensions shall be discussed and,9.960000038146973,0,282.6486511230469,14,92,False,False,O
"introduced by the ISTQB periodically. Extensions may be established at the Advanced Level as well, but",9.960000038146973,0,294.17236328125,16,102,False,False,O
that is beyond the scope of this document,9.960000038146973,0,305.6960754394531,8,41,False,False,O
The following Foundation Level Extension syllabus has been released,9.960000038146973,0,328.6140441894531,9,67,False,False,O
Agile Tester,9.960000038146973,0,340.8548889160156,2,12,False,False,O
"In this document, each Foundation Level Extension syllabus is summarized and the associated Business",9.960000038146973,0,363.7728576660156,14,100,False,False,O
Outcomes are stated. The Business Outcomes communicate what can be expected from a person who,9.960000038146973,0,375.2965698242188,15,93,False,False,O
"achieves a Foundation Level Extension Certification in a particular subject area (e.g., Agile Tester), and",9.960000038146973,0,386.8402099609375,15,106,False,False,O
will outline the benefits for companies that are considering the development of specific testing skills at this,9.960000038146973,0,398.3639221191406,17,111,False,False,O
level,9.960000038146973,0,409.88763427734375,1,5,False,False,O
Version 2014,9.960000038146973,0,718.7276000976562,2,12,False,False,O
Page 6 of 12,9.960000038146973,0,718.7276000976562,4,12,False,False,O
"May 31, 2014",9.960000038146973,0,718.7276000976562,3,12,False,False,O
© International Software Testing Qualifications Board,6.0,0,735.8699951171875,6,53,False,False,O
Qualifications Board,9.960000038146973,0,59.972991943359375,2,20,False,False,O
International,9.960000038146973,0,36.933013916015625,1,13,False,False,O
Overview,12.0,0,39.540000915527344,1,8,False,False,O
Software Testing,9.960000038146973,0,48.452972412109375,2,16,False,False,O
Foundation Level Extension – Agile Tester,9.960000038146973,0,56.733001708984375,6,41,False,False,O
2. Introduction to Foundation Level Agile Tester Extension,15.960000038146973,1,120.2629852294922,8,58,False,False,H1
The certification for Foundation Level Extension – Agile Tester is designed for professionals who are,9.960000038146973,0,144.59298706054688,15,101,False,False,O
working within Agile environments. It is also for professionals who are planning to start implementing,9.960000038146973,0,156.11672973632812,15,102,False,False,O
"Agile methods in the near future, or are working within companies that plan to do so, The certification",9.960000038146973,0,167.64047241210938,18,103,False,False,O
"provides an advantage for those who would like to know the required Agile activities, roles, methods, and",9.960000038146973,0,179.16421508789062,17,105,False,False,O
methodologies specific to their role,9.960000038146973,0,190.56838989257807,5,36,False,False,O
2.1 Intended Audience,14.039999961853027,0,214.9669952392578,3,21,False,False,H2
The Foundation Level Extension – Agile Tester qualification is aimed at four main groups of professionals,9.960000038146973,0,239.1830139160156,16,105,False,False,O
1. Professionals who have achieved in-depth testing experience in traditional methods and would,9.960000038146973,0,250.70675659179688,13,95,False,False,O
like to get an Agile Tester Certificate,9.960000038146973,0,262.2304992675781,7,39,False,False,O
"2. Junior professional testers who are just starting in the testing profession, have received the",9.960000038146973,0,273.75421142578125,15,97,False,False,O
"Foundation Level certificate, and would like to know more about the tester’s role in an Agile",9.960000038146973,0,285.2779235839844,16,93,False,False,O
environment,9.960000038146973,0,296.68212890625,1,11,False,False,O
3. Professionals who are relatively new to testing and are required to implement test approaches,9.960000038146973,0,308.2058410644531,15,96,False,False,O
methods and techniques in their day to day job in Agile projects,9.960000038146973,0,319.72955322265625,12,64,False,False,O
4. Professionals who are experienced in their role (including unit testing) and need more,9.960000038146973,0,331.2532653808594,14,89,False,False,O
understanding and knowledge about how to perform and manage testing on all levels in Agile,9.960000038146973,0,342.7769775390625,15,90,False,False,O
projects,9.960000038146973,0,354.3006896972656,1,8,False,False,O
"These professionals include people who are in roles such as testers, test analysts, test engineers, test",9.960000038146973,0,377.2186584472656,16,104,False,False,O
"consultants, test managers, user acceptance testers, and software developers",9.960000038146973,0,388.7622985839844,9,76,False,False,O
This Foundation Level Extension – Agile Tester certification may also be appropriate for anyone who,9.960000038146973,0,411.7997741699219,15,99,False,False,O
"wants a deeper understanding of software testing in the Agile world, such as project managers, quality",9.960000038146973,0,423.323486328125,16,102,False,False,O
"managers, software development managers, business analysts, IT directors, and management",9.960000038146973,0,434.7276916503906,10,88,False,False,O
consultants,9.960000038146973,0,446.25140380859375,1,11,False,False,O
2.2 Career Paths for Testers,14.039999961853027,0,482.1370239257813,5,28,False,False,H2
"Building on the Foundation Level, the Agile Tester Extension supports the definition of career paths for",9.960000038146973,0,506.3230285644531,16,104,False,False,O
professional testers. A person with the Agile Tester certificate has extended the broad understanding of,9.960000038146973,0,517.8466796875,15,104,False,False,O
testing acquired at the Foundation Level to enable him or her to work effectively as a professional tester in,9.960000038146973,0,529.370361328125,19,109,False,False,O
an Agile project,9.960000038146973,0,540.774658203125,3,16,False,False,O
People possessing an ISTQB Foundation Level Extension – Agile Tester certificate may use the Certified,9.960000038146973,0,563.8419189453125,15,102,False,False,O
Tester Foundation Level acronym CTFL-AT,9.960000038146973,0,575.36572265625,5,39,False,False,O
2.3 Learning Objectives,14.039999961853027,0,611.2869873046875,3,23,False,False,H2
"In general, the Foundation Level syllabus is examinable at a K1 level, i.e., the candidate will recognize",9.960000038146973,0,635.4730224609375,17,105,False,False,O
remember and recall terms and concepts stated in the Foundation Level syllabus,9.960000038146973,0,646.9967041015625,12,78,False,False,O
"In addition, all Foundation Level syllabus learning objectives are examinable at the same K- level in an",9.960000038146973,0,669.9146728515625,17,104,False,False,O
extension exam,9.960000038146973,0,681.428466796875,2,14,False,False,O
Version 2014,9.960000038146973,0,718.6891479492188,2,12,False,False,O
Page 7 of 12,9.960000038146973,0,718.6891479492188,4,12,False,False,O
"May 31, 2014",9.960000038146973,0,718.6891479492188,3,12,False,False,O
© International Software Testing Qualifications Board,6.0,0,735.8699951171875,6,53,False,False,O
Qualifications Board,9.960000038146973,0,59.972991943359375,2,20,False,False,O
International,9.960000038146973,0,36.933013916015625,1,13,False,False,O
Overview,12.0,0,39.540000915527344,1,8,False,False,O
Software Testing,9.960000038146973,0,48.452972412109375,2,16,False,False,O
Foundation Level Extension – Agile Tester,9.960000038146973,0,56.733001708984375,6,41,False,False,O
"That said, each extension level exam focuses on the learning objectives defined in that extension",9.960000038146973,0,107.15298461914062,15,97,False,False,O
"syllabus. The relevant learning objectives at K1, K2, and K3 levels are provided at the beginning of each",9.960000038146973,0,118.67672729492188,18,105,False,False,O
chapter within each particular extension syllabus,9.960000038146973,0,130.20046997070312,6,49,False,False,O
2.4 Entry Requirements,14.039999961853027,0,154.6070098876953,3,22,False,False,H2
"To be able to participate in a Foundation Level Extension – Agile Tester exam, candidates must have",9.960000038146973,0,178.79299926757812,17,99,False,False,O
obtained the ISTQB Foundation Level certificate,9.960000038146973,0,190.31674194335935,6,47,False,False,O
2.5 Structure and Course Duration,14.039999961853027,0,214.7270050048828,5,33,False,False,H2
The Foundation Level Extension – Agile Tester syllabus has no shared or common elements with the,9.960000038146973,0,238.94302368164065,16,96,False,False,O
Foundation Level syllabus,9.960000038146973,0,250.46676635742188,3,25,False,False,O
The syllabi must be taught in the following minimum number of days,9.960000038146973,0,273.3847351074219,12,66,False,False,O
Syllabus,9.960000038146973,1,299.8327941894531,1,8,False,False,O
Baseline: Foundation,9.960000038146973,0,317.9029846191406,2,20,False,False,O
Extension: Agile Tester,9.960000038146973,0,335.9029846191406,3,23,False,False,O
The following figure shows the structure of the Agile Tester Extension and its relationship to the,9.960000038146973,0,365.4230041503906,16,98,False,False,O
Foundation Level,9.960000038146973,0,376.94671630859375,2,16,False,False,O
Version 2014,9.960000038146973,0,718.6878662109375,2,12,False,False,O
Page 8 of 12,9.960000038146973,0,718.6878662109375,4,12,False,False,O
"May 31, 2014",9.960000038146973,0,718.6878662109375,3,12,False,False,O
© International Software Testing Qualifications Board,6.0,0,735.8699951171875,6,53,False,False,O
Qualifications Board,9.960000038146973,0,59.972991943359375,2,20,False,False,O
International,9.960000038146973,0,36.933013916015625,1,13,False,False,O
Overview,12.0,0,39.540000915527344,1,8,False,False,O
Software Testing,9.960000038146973,0,48.452972412109375,2,16,False,False,O
Foundation Level Extension – Agile Tester,9.960000038146973,0,56.733001708984375,6,41,False,False,O
2.6 Keeping It Current,14.039999961853027,0,131.5669708251953,4,22,False,False,H2
The software industry changes rapidly. To deal with these changes and to provide the stakeholders with,9.960000038146973,0,155.75302124023438,16,102,False,False,O
"access to relevant and current information, the ISTQB working groups have created links on the",9.960000038146973,0,167.27676391601562,15,94,False,False,O
"www.istqb.org web site which refer to supporting documents, changes to standards and new occurrences",9.960000038146973,0,178.80050659179688,14,100,False,False,O
in the industry. This information is not examinable under this syllabus,9.960000038146973,0,190.32424926757807,11,71,False,False,O
Version 2014,9.960000038146973,0,718.7025756835938,2,12,False,False,O
Page 9 of 12,9.960000038146973,0,718.7025756835938,4,12,False,False,O
"May 31, 2014",9.960000038146973,0,718.7025756835938,3,12,False,False,O
© International Software Testing Qualifications Board,6.0,0,735.8699951171875,6,53,False,False,O
Qualifications Board,9.960000038146973,0,59.972991943359375,2,20,False,False,O
International,9.960000038146973,0,36.933013916015625,1,13,False,False,O
Overview,12.0,0,39.540000915527344,1,8,False,False,O
Software Testing,9.960000038146973,0,48.452972412109375,2,16,False,False,O
Foundation Level Extension – Agile Tester,9.960000038146973,0,56.733001708984375,6,41,False,False,O
3. Overview of the Foundation Level Extension – Agile Tester,15.960000038146973,1,117.14299011230467,10,60,False,False,H1
Syllabus,15.960000038146973,1,135.70448303222656,1,8,False,False,O
3.1 Business Outcomes,14.039999961853027,0,185.5669708251953,3,21,False,False,H2
This section lists the Business Outcomes expected of a candidate who has achieved the Foundation Level,9.960000038146973,0,209.7530212402344,16,102,False,False,O
Extension – Agile Tester certification,9.960000038146973,0,221.2767639160156,5,38,False,False,O
An Agile Tester can…,9.960000038146973,0,244.44369506835935,4,20,False,False,O
Collaborate in a cross-functional Agile team being familiar with principles and basic,9.960000038146973,0,267.2629699707031,12,85,False,False,O
practices of Agile software development,9.960000038146973,0,278.7829895019531,5,39,False,False,O
Adapt existing testing experience and knowledge to Agile values and principles,9.960000038146973,0,301.822998046875,11,78,False,False,O
Support the Agile team in planning test-related activities,9.960000038146973,0,326.7829895019531,8,58,False,False,O
Apply relevant methods and techniques for testing in an Agile project,9.960000038146973,0,351.8630065917969,11,69,False,False,O
Assist the Agile team in test automation activities,9.960000038146973,0,376.9429931640625,8,51,False,False,O
Assist business stakeholders in defining understandable and testable user stories,9.960000038146973,0,402.0429992675781,10,81,False,False,O
"scenarios, requirements and acceptance criteria as appropriate",9.960000038146973,0,413.4429931640625,7,62,False,False,O
Work and share information with other team members using effective communication,9.960000038146973,0,436.4830017089844,11,80,False,False,O
styles and channels,9.960000038146973,0,448.00299072265625,3,19,False,False,O
"In general, a Certified Tester Foundation Level – Agile Tester is expected to have acquired the necessary",9.960000038146973,0,483.1629943847656,17,105,False,False,O
skills to working effectively within an Agile team and environment,9.960000038146973,0,494.6867065429688,10,66,False,False,O
3.2 Content,14.039999961853027,0,530.6170043945312,2,11,False,False,H2
Chapter 1: Agile Software Development,9.960000038146973,0,554.8330078125,5,37,False,False,O
The tester should remember the basic concept of Agile software development based on the Agile,9.960000038146973,0,567.0738525390625,15,93,False,False,O
Manifesto,9.960000038146973,0,578.47802734375,1,9,False,False,O
The tester should understand the advantages of the whole-team approach and the benefits of,9.960000038146973,0,590.7188720703125,14,90,False,False,O
early and frequent feedback,9.960000038146973,0,602.123046875,4,27,False,False,O
The tester should recall Agile software development approaches,9.960000038146973,0,614.3638916015625,8,62,False,False,O
The tester should be able to write testable user stories in collaboration with developers and,9.960000038146973,0,626.604736328125,15,93,False,False,O
business representatives,9.960000038146973,0,638.009033203125,2,24,False,False,O
The tester should understand how retrospectives can be used as a mechanism for process,9.960000038146973,0,650.2498779296875,14,86,False,False,O
improvement in Agile projects,9.960000038146973,0,661.654052734375,4,29,False,False,O
The tester should understand the use and purpose of continuous integration,9.960000038146973,0,673.8948974609375,11,74,False,False,O
"The tester should know the differences between iteration and release planning, and how a tester",9.960000038146973,0,686.1357421875,15,95,False,False,O
adds value in each of these activities,9.960000038146973,0,697.5399169921875,7,38,False,False,O
Version 2014,9.960000038146973,0,718.7152099609375,2,12,False,False,O
Page 10 of 12,9.960000038146973,0,718.7152099609375,4,13,False,False,O
"May 31, 2014",9.960000038146973,0,718.7152099609375,3,12,False,False,O
© International Software Testing Qualifications Board,6.0,0,735.8699951171875,6,53,False,False,O
International,9.960000038146973,0,36.933013916015625,1,13,False,False,O
Overview,12.0,0,39.540000915527344,1,8,False,False,O
Software Testing,9.960000038146973,0,48.452972412109375,2,16,False,False,O
Foundation Level Extension – Agile Tester,9.960000038146973,0,56.733001708984375,6,41,False,False,O
Qualifications,9.960000038146973,0,59.972991943359375,1,14,False,False,O
Board,9.960000038146973,0,59.972991943359375,1,5,False,False,O
"Chapter 2: Fundamental Agile Testing Principles, Practices, and Processes",9.960000038146973,0,107.15298461914062,9,73,False,False,O
The tester should be able to describe the differences between testing activities in Agile projects,9.960000038146973,0,119.39382934570312,15,98,False,False,O
and non-Agile projects,9.960000038146973,0,130.91757202148438,3,22,False,False,O
The tester should be able to describe how development and testing activities are integrated in,9.960000038146973,0,143.03890991210938,15,94,False,False,O
Agile projects,9.960000038146973,0,154.56265258789062,2,14,False,False,O
The tester should be able to describe the role of independent testing in Agile projects,9.960000038146973,0,166.80349731445312,15,87,False,False,O
The tester should be able to describe the tools and techniques used to communicate the status of,9.960000038146973,0,178.92483520507812,17,96,False,False,O
"testing in an Agile project, including test progress and product quality",9.960000038146973,0,190.44857788085935,11,72,False,False,O
The tester should be able to describe the process of evolving tests across multiple iterations and,9.960000038146973,0,202.5699157714844,16,98,False,False,O
explain why test automation is important to manage regression risk in Agile projects,9.960000038146973,0,214.0936584472656,13,84,False,False,O
"The tester should understand the skills (people, domain, and testing) of a tester in an Agile team",9.960000038146973,0,226.3643493652344,17,98,False,False,O
The tester should be able to understand the role of a tester within an Agile team,9.960000038146973,0,238.48568725585935,16,81,False,False,O
"Chapter 3: Agile Testing Methods, Techniques, and Tools",9.960000038146973,0,261.4036560058594,8,55,False,False,O
"The tester should be able to recall the concepts of test-driven development, acceptance test",9.960000038146973,0,273.6445007324219,14,92,False,False,O
"driven development, and behavior-driven development",9.960000038146973,0,285.168212890625,5,51,False,False,O
The tester should be able to recall the concepts of the test pyramid,9.960000038146973,0,297.4090576171875,13,68,False,False,O
The tester should be able to summarize the testing quadrants and their relationships with testing,9.960000038146973,0,309.5303649902344,15,97,False,False,O
levels and testing types,9.960000038146973,0,320.9345703125,4,24,False,False,O
"For a given Agile project, the tester should be able to work as a tester in a Scrum team",9.960000038146973,0,333.1754150390625,19,88,False,False,O
